number_of_dependents,city,contract,total_charges,total_long_distance_charges,total_revenue,tenure,number_of_referrals,customer_status
-0.39166225426816853,210,0,-0.697873124060935,-0.5160030150206848,-0.6906091809696446,-0.7750456725251127,-0.09461675377697187,Joined
-0.39166225426816853,1058,0,-0.6859504688949287,-0.598167117568988,-0.704225177579248,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,12,1,-0.26205513320092694,1.263809043172299,0.1464763959744316,1.2583402193507105,-0.09461675377697187,Stayed
-0.39166225426816853,1015,0,-0.686772195647602,-0.58554360265558,-0.7013443109926516,-0.817407878605859,-0.5041494929965589,Churned
-0.39166225426816853,52,1,0.08376386958052977,0.6112064496631726,0.23447701832905454,0.3263716855742915,-0.5041494929965589,Stayed
0.9336433278913053,1084,0,2.951822896514503,3.188687335036374,3.1939559849200374,2.105584340965637,-0.09461675377697187,Stayed
2.2589489100507794,918,1,2.4448712466930322,3.3376184314908657,2.8395422594629185,2.0632221348848905,3.1816451599797237,Stayed
-0.39166225426816853,857,0,-0.6852765676857747,-0.5963323978563815,-0.703186805348866,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,486,2,-0.3100133037560555,0.39841663820996737,-0.132478931751034,0.9194425707047399,-0.5041494929965589,Stayed
-0.39166225426816853,56,0,-0.7106686428515978,-0.5852869813812555,-0.7199379488230417,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,241,0,-0.7110200932326157,-0.5975534576248904,-0.7236355361474548,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,721,1,1.0764649131400403,1.8876109162414092,1.3724506062333233,0.8347181585432473,-0.5041494929965589,Stayed
-0.39166225426816853,434,1,-0.10831188496920467,-0.4036205191423039,-0.19874805198114748,-0.012525963071679018,-0.09461675377697187,Stayed
-0.39166225426816853,703,0,-0.7071848269283384,-0.648006311040217,-0.734719186139453,-0.817407878605859,-0.5041494929965589,Joined
2.2589489100507794,230,0,-0.6949410721558373,-0.5733841433415829,-0.7043317207377002,-0.7750456725251127,-0.5041494929965589,Joined
2.2589489100507794,91,2,-0.08983838794847597,-0.49024412444420346,-0.20849172391046628,1.7666866923196662,0.31491598544261507,Stayed
-0.39166225426816853,316,0,-0.6842717690562656,-0.5871411859199851,-0.6998370758068543,-0.817407878605859,-0.09461675377697187,Churned
-0.39166225426816853,4,0,-0.671857196235238,-0.648006311040217,-0.7071251649022084,-0.7326834664443663,-0.09461675377697187,Joined
-0.39166225426816853,854,0,-0.6427283834481087,-0.633053532275405,-0.6802002608915078,-0.7750456725251127,-0.5041494929965589,Churned
-0.39166225426816853,522,0,0.9143911485873057,2.201963390282851,1.3271861853720572,0.9194425707047399,-0.5041494929965589,Churned
-0.39166225426816853,993,0,-0.5408578201240429,-0.34236622108508336,-0.5195113166123702,-0.6479590542828737,-0.5041494929965589,Stayed
-0.39166225426816853,883,0,-0.6951697385342869,-0.5502825283906065,-0.6980636108092438,-0.7750456725251127,2.3625796815405495,Joined
-0.39166225426816853,451,0,-0.6340502419457466,-0.5514162973043872,-0.6488177149680555,-0.7750456725251127,1.1339814638817889,Joined
-0.39166225426816853,157,1,-0.5771497935689611,-0.35674362309061625,-0.5518707219215212,-0.22433699347541058,1.5435142031013758,Stayed
3.5842544922102526,110,0,0.19591744228269056,-0.30703642388109087,0.06583479006525676,0.07219844908981361,-0.09461675377697187,Stayed
-0.39166225426816853,850,2,2.271959599751057,3.240737113839029,2.6774472610953293,2.020859928804144,0.724448724662202,Stayed
-0.39166225426816853,854,0,-0.33472113790534846,-0.5420090653252595,-0.41421241306089274,-0.47851022995988846,-0.5041494929965589,Churned
-0.39166225426816853,600,0,-0.6811606319321352,-0.6216396643313353,-0.7070341196019054,-0.817407878605859,-0.5041494929965589,Churned
3.5842544922102526,973,1,1.6985905815214373,-0.0706244668413168,1.3055290805767208,1.343064631512203,2.772112420760137,Stayed
3.5842544922102526,667,2,-0.6131974199923041,-0.39463974950685726,-0.5906023874238796,-0.43614802387914214,-0.09461675377697187,Stayed
-0.39166225426816853,854,0,-0.5802095899568973,-0.540543947784208,-0.6055518706985973,-0.7326834664443663,-0.5041494929965589,Churned
-0.39166225426816853,424,0,-0.5710972925713804,-0.4714933660235283,-0.5791651544343596,-0.6903212603636201,0.724448724662202,Churned
-0.39166225426816853,532,0,-0.6989140026282077,-0.6113518522347055,-0.718030172068375,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,316,0,-0.7029538125098256,-0.6044248355644083,-0.7192525749580918,-0.7750456725251127,-0.5041494929965589,Joined
-0.39166225426816853,835,1,0.9955281764851787,-0.2703241261895224,0.6880893741375078,1.4277890436736957,-0.5041494929965589,Stayed
2.2589489100507794,840,1,1.482815274872742,-0.05177845783359909,1.1916124173344904,0.9618047767854863,-0.5041494929965589,Stayed
-0.39166225426816853,854,0,0.7111379370026052,0.22695632526902984,0.6172834160679397,0.36873389165503784,-0.09461675377697187,Churned
-0.39166225426816853,1098,0,2.624637061533434,1.1944859288279996,2.3818944575573577,1.9361355166426515,-0.09461675377697187,Churned
-0.39166225426816853,840,0,-0.7106447630482965,-0.6174422729546929,-0.7288925272366769,-0.817407878605859,-0.5041494929965589,Churned
-0.39166225426816853,336,0,-0.16310038797541834,0.29864845189618694,-0.045568112141428425,-0.22433699347541058,-0.5041494929965589,Churned
-0.39166225426816853,641,2,2.9532084087910575,3.6892155627186036,3.361295766000766,2.1903087531271295,3.591177899199311,Stayed
-0.39166225426816853,1088,0,-0.6738314637962425,-0.6451616342380877,-0.7078734101413556,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,452,0,-0.7111484352637507,-0.5887911540807758,-0.7212905810734007,-0.817407878605859,-0.5041494929965589,Joined
-0.39166225426816853,970,1,1.352090976218164,-0.648006311040217,0.8737583463339109,2.0632221348848905,2.3625796815405495,Stayed
